50333,,,,,
EMBROIDERY,,,,,
Heather View Homes,,,,,
Heather View Homes Hi Vis Uniform,,,,,
6,Medium, Yellow/Black, DX416, DX4 Hi Vis Long Sleeve T-Shirt,
6,Large, Yellow/Black, DX416, DX4 Hi Vis Long Sleeve T-Shirt,
2,XL, Yellow/Black, DX416, DX4 Hi Vis Long Sleeve T-Shirt,
6,Medium, Yellow/Black, DX413, DX4 Hi Vis Short Sleeve T-Shirt,
6,Large, Yellow/Black, DX413, DX4 Hi Vis Short Sleeve T-Shirt,
2,XL, Yellow/Black, DX413, DX4 Hi Vis Short Sleeve T-Shirt,
2,Medium, Yellow/Black, PW379, PW3 Hi Vis Sweatshirt,
2,Large, Yellow/Black, PW379, PW3 Hi Vis Sweatshirt,
2,XL, Yellow/Black, PW379, PW3 Hi Vis Sweatshirt,
1,"30""", Yellow/Black, DX457, DX4 Hi-Vis Class 1 Detachable Holster Pocket Trous,
2,"32""", Yellow/Black, DX457, DX4 Hi-Vis Class 1 Detachable Holster Pocket Trous,
1,"36""", Yellow/Black, DX457, DX4 Hi-Vis Class 1 Detachable Holster Pocket Trous,
1,"40""", Yellow/Black, DX457, DX4 Hi-Vis Class 1 Detachable Holster Pocket Trous,
1,Medium, Yellow/Black, PW275, PW2 Portwest Hi-Vis Softshell,
3,Large, Yellow/Black, PW275, PW2 Portwest Hi-Vis Softshell,
1,XL, Yellow/Black, PW275, PW2 Portwest Hi-Vis Softshell,
1,Medium, Yellow/Black, PW261, PW2 Portwest Hi Vis Winter Jacket,
3,Large, Yellow/Black, PW261, PW2 Portwest Hi Vis Winter Jacket,
1,XL, Yellow/Black, PW261, PW2 Portwest Hi Vis Winter Jacket,
1,Medium, Yellow/Black, PW265, PW2 Portwest Hi Vis Rain Jacket,
3,Large, Yellow/Black, PW265, PW2 Portwest Hi Vis Rain Jacket,
1,XL, Yellow/Black, PW265, PW2 Portwest Hi Vis Rain Jacket,
5,,,,Black Portwest Height Endurance Helmet,
3,,,,FW57 Portwest All Weather Boots - Size 8,
1,,,,FW57 Portwest All Weather Boots - Size 7,
=====,,,,,
50396,,,,,
EMBROIDERY,,,,,
Cloned,,,,,
Cloned Caps,,,,,
2,,,,Black caps supplied - Small 'O' to left side,
3,,,,White caps supplied - Small 'O' to left side,
3,,,,Stone caps supplied - Small 'O' to left side,
2,,,,Black caps supplied - Small 'Cloned' to left side,
3,,,,White caps supplied - Small 'Cloned' to left side,
3,,,,Stone caps supplied - Small 'Cloned' to left side,
8,,,,Black caps supplied - Large 3D 'O' to centre,
=====,,,,,
50438,,,,,
PRINT,,,,,
Manston Raceway Park,,,,,
I Helped Build Manston Raceway Park - T-Shirts,,,,,
2,Medium, Black, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
1,Large, Black, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
1,XXL, Black, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
=====,,,,,
50490,,,,,
EMBROIDERY,,,,,
CJC GAINS Ltd,,,,,
CJC / CRF T-Shirt & Samples,,,,,
1,Small, Black, NS401, Native Spirit Unisex Heavyweight Hooded Sweatshirt,
1,Large, Black, NS401, Native Spirit Unisex Heavyweight Hooded Sweatshirt,
1,XL, Black, NS401, Native Spirit Unisex Heavyweight Hooded Sweatshirt,
1,Small, Black, SF124, SF Clothing Feel Good Stretch Long Sleeve T-Shirt,
1,Large, Black, SF124, SF Clothing Feel Good Stretch Long Sleeve T-Shirt,
1,XXL, Black, SF124, SF Clothing Feel Good Stretch Long Sleeve T-Shirt,
1,,,,Supplied t-shirt printed/embroidered same day,
=====,,,,,
50525,,,,,
PRINT,,,,,
Charlton Design & Build Ltd.,,,,,
Stoke Mandeville FC/Charlton Design & Build Jkts,,,,,
10,Small, Black, RG211, Regatta Pro Stormbreak Waterproof Jacket,
2,XL, Black, RG211, Regatta Pro Stormbreak Waterproof Jacket,
1,3XL, Black, RG211, Regatta Pro Stormbreak Waterproof Jacket,
5,34, Black, RG256, Regatta Kids Pro Stormbreak Waterproof Jacket,
=====,,,,,
50552,,,,,
EMBROIDERY,,,,,
Probity Europe Limited,,,,,
Airbourne Snake skin samples,,,,,
1,,,,Various prints applied to snake skin supplied,
=====,,,,,
50619,,,,,
PRINT,,,,,
1HQ (NL) B.V.,,,,,
KraftHeinz Amsterdam / Brazil,,,,,
17,Small, Navy, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
15,Medium, Navy, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
5,Large, Navy, GD01, Gildan Softstyle Ringspun T-shirt 160gsm,
5,Small, White, SSE17, Fruit of the Loom Premium Zip Neck Sweatshirt,
10,Medium, White, SSE17, Fruit of the Loom Premium Zip Neck Sweatshirt,
2,Large, White, SSE17, Fruit of the Loom Premium Zip Neck Sweatshirt,
10,,,,BY201 White Socks Size: 35-38,
